county_id_fips,AVERAGE of GHG QUANTITY (METRIC TONS CO2e)
40153,384981.4889
41001,613932.75
41003,36166.27778
41005,36044.70455
41007,254417.5556
41009,239757.473
41013,30758.08333
41017,64110.20833
41019,46871.3913
41021,241911.3333
41029,40702.42105
41035,562052.5217
41039,71473.81818
41041,335593.9167
41043,48644.2
41045,38066.875
41047,76808.41667
41049,692451.9726
41051,53737.8125
41059,774196.0833
41065,79401.91667
41067,96313.17857
41071,62327.0625
42001,1838161.667
42003,275100.7215
42005,2398217.836
42007,1237863.134
42009,36710.08333
42011,249093.9861
42013,85565.96875
42015,49020.86022
42017,740429.4118
42019,105931.6119
42021,432233.1944
42025,377002.5833
42027,250869.8125
42029,116142.4118
42031,60620.43478
42033,469901.697
42035,75357.18182
42037,33823.22222
42039,159820
42041,76266.86275
42043,73550.63077
42045,610808.5476
42047,208871.5417
42049,49113.38235
42051,438798.34
42053,36147.75
42055,61594.5
42059,808845.4018
42061,33521.72727
42063,2474651.061
42065,81174.875
42067,97674.41667
42069,229653.9216
42071,69360.29885
42073,157247.8868
42075,774253.6471
42077,172305.3043
42079,201416.3469
42081,47034.33333
42083,81470.76667
42085,102914.6591
42087,64558.41667
42089,31820.58333
42091,75189.47191
42093,1643451.306
42095,582637.5649
42097,184100.8387
42099,64595.58333
42101,361786.2331
42103,30379.4
42105,54487.78182
42107,423991.2549
42109,1223717.5
42111,32330.30909
42115,86688.775
42117,44272
42119,34251.30435
42121,346997.1667
42123,153478.6429
42125,226852.3723
42129,89241.27966
42131,314267.7407
42133,791783.514
44005,497931.2308
44007,302673.7411
44009,81162.16667
45003,244093.569
45005,1759.166667
45007,635241.3333
45011,113461.9167
45015,1641569.45
45017,234941.8824
45019,190896.2712
45021,167075.4265
45023,74047.25
45029,977619.6
45031,160790.4651
45035,241333.0357
45041,151508.7917
45043,798861.3818
45045,54498.75904
45047,40323.19444
45051,128677.875
45053,975992.5417
45055,131292.0714
45061,108497.1667
45063,149682.3056
45069,58069.81818
45075,928912.7692
45077,24783.54167
45079,699712.0806
45081,29391.63636
45083,66073.90476
45085,28342.8125
45087,77835.4
45089,98534.26087
45091,94589.54167
46005,20349.21739
46009,18274.66667
46011,135609.7561
46013,58507.0339
46019,47152.5625
46027,14421.86667
46029,109256.0476
46035,98899.41667
46045,180996.3333
46051,1285280.542
46057,36659.5
46079,72762.25
46083,88191.66667
46099,61123
46103,205594.4464
46109,34982.63636
46115,72477.75
46119,29953.5
46125,127391.8696
46135,31193.8
47001,66556
47003,27160
47005,108515
47009,128091.8333
47011,100243.2692
47013,4884
47017,77450.8
47029,27371.15789
47031,11502.46667
47035,34564.36364
47037,79687.27273
47039,99916
47041,63463.45455
47043,29024.58333
47045,25523.1
47051,10821.2
47053,17875.71429
47055,6516
47059,97905.8
47063,55055
47065,114608.3111
47069,19771.8
47071,300860.75
47073,87241.89286
47075,37442.08333
47079,29067.25
47081,47872.08333
47085,193596.3333
47093,149451.8302
47099,16422.25
47103,664.875
47105,157030.5833
47107,145078.8939
47111,34902.625
47113,73061.64286
47115,44288.3
47117,15425.58333
47119,40681.42308
47125,69840.97872
47127,37290.66667
47131,62963.76271
47135,8696
47143,171504.25
47145,87633.8
47149,69699.4375
47151,117980.5
47157,148931.2701
47159,30942
47161,81086.09091
47163,1202664.717
47165,54695.43333
47167,14251.57895
47169,43498.16667
47173,216675.1667
47177,24638.5
47179,44539.16667
47181,53967.2
47187,23783.57143
47189,1027.5
48001,33629.52381
48003,121301.619
48005,47769.48485
48011,38172.33333
48013,2333626.375
48019,55.33333333
48021,582367
48025,77147.72381
