,Plant state abbreviation,Plant county name,Number of Power Plants,Powerplant Rank
881,NJ,Gloucester,6,5
882,NJ,Hudson,5,5
883,NJ,Hunterdon,1,5
884,NJ,MIDDLESEX,1,5
885,NJ,Mercer,5,5
886,NJ,Middlesex,8,5
887,NJ,Monmouth,1,5
888,NJ,Ocean,5,5
889,NJ,Passaic,1,5
890,NJ,Salem,4,5
891,NJ,Somerset,3,5
892,NJ,Sussex,1,5
893,NJ,Union,6,5
894,NJ,WARREN,1,5
895,NJ,Warren,1,5
896,NM,Bernalillo,4,5
897,NM,Dona Ana,4,5
898,NM,Grant,1,5
899,NM,Hidalgo,2,5
900,NM,Lea,4,5
901,NM,Luna,1,5
902,NM,McKinley,1,5
903,NM,Quay,1,5
904,NM,San Juan,4,5
905,NM,Valencia,2,5
906,NV,Clark,15,4
907,NV,Eureka,1,5
908,NV,Humboldt,1,5
909,NV,Lyon,1,5
910,NV,Storey,2,5
911,NV,Washoe,1,5
912,NY,Albany,5,5
913,NY,Allegany,2,5
914,NY,Bronx,7,5
915,NY,Broome,1,5
916,NY,Cattaraugus,1,5
917,NY,Cayuga,1,5
918,NY,Chautauqua,2,5
919,NY,Clinton,2,5
920,NY,Dutchess,1,5
921,NY,Erie,2,5
922,NY,Essex,2,5
923,NY,Fulton,1,5
924,NY,Genesee,3,5
925,NY,Greene,3,5
926,NY,Jefferson,3,5
927,NY,Kings,18,4
928,NY,Lewis,1,5
929,NY,Madison,1,5
930,NY,Monroe,6,5
931,NY,Nassau,11,5
932,NY,New York,15,4
933,NY,Niagara,6,5
934,NY,Oneida,3,5
935,NY,Onondaga,3,5
936,NY,Ontario,1,5
937,NY,Orange,5,5
938,NY,Oswego,4,5
939,NY,Otsego,1,5
940,NY,Queens,13,4
941,NY,Rensselaer,4,5
942,NY,Richmond,2,5
943,NY,Rockland,5,5
944,NY,SUFFOLK,1,5
945,NY,Saratoga,1,5
946,NY,Seneca,1,5
947,NY,St Lawrence,1,5
948,NY,Steuben,1,5
949,NY,Suffolk,25,3
950,NY,Tompkins,2,5
951,NY,Warren,1,5
952,NY,Washington,1,5
953,NY,Wayne,1,5
954,NY,Westchester,10,5
955,NY,Wyoming,2,5
956,NY,Yates,1,5
957,OH,Ashtabula,2,5
958,OH,Auglaize,1,5
959,OH,Brown,1,5
960,OH,Butler,7,5
961,OH,Carroll,1,5
962,OH,Clermont,1,5
963,OH,Coshocton,1,5
964,OH,Crawford,2,5
965,OH,Cuyahoga,6,5
966,OH,Darke,3,5
967,OH,Defiance,1,5
968,OH,Erie,1,5
969,OH,Franklin,3,5
